=== running parity_transformer ===
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
[selective_copy_s4d] epoch 4/12 loss=2.8369 val={'loss': 2.8367, 'token_accuracy': 0.0592, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 5/12 loss=2.8350 val={'loss': 2.8365, 'token_accuracy': 0.059, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 6/12 loss=2.8330 val={'loss': 2.8373, 'token_accuracy': 0.0584, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 7/12 loss=2.8311 val={'loss': 2.8388, 'token_accuracy': 0.0594, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 8/12 loss=2.8240 val={'loss': 2.8405, 'token_accuracy': 0.0635, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 9/12 loss=2.8168 val={'loss': 2.8426, 'token_accuracy': 0.0638, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 10/12 loss=2.8132 val={'loss': 2.8441, 'token_accuracy': 0.0642, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 11/12 loss=2.8113 val={'loss': 2.8442, 'token_accuracy': 0.064, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 12/12 loss=2.8106 val={'loss': 2.8442, 'token_accuracy': 0.0641, 'sequence_success': 0.0}
=== running selective_copy_mamba ===
[selective_copy_mamba] epoch 1/12 loss=2.8875 val={'loss': 2.8419, 'token_accuracy': 0.06, 'sequence_success': 0.0}
[selective_copy_mamba] epoch 2/12 loss=2.6832 val={'loss': 2.3499, 'token_accuracy': 0.2415, 'sequence_success': 0.0}
[selective_copy_mamba] epoch 3/12 loss=0.6557 val={'loss': 1.5537, 'token_accuracy': 0.508, 'sequence_success': 0.017}
[selective_copy_mamba] epoch 4/12 loss=0.1008 val={'loss': 1.882, 'token_accuracy': 0.6339, 'sequence_success': 0.0776}
[selective_copy_mamba] epoch 5/12 loss=0.0053 val={'loss': 2.2155, 'token_accuracy': 0.6624, 'sequence_success': 0.1488}
[selective_copy_mamba] epoch 6/12 loss=0.0011 val={'loss': 2.2926, 'token_accuracy': 0.6559, 'sequence_success': 0.1518}
[selective_copy_mamba] epoch 7/12 loss=0.0007 val={'loss': 2.3446, 'token_accuracy': 0.6521, 'sequence_success': 0.1476}
[selective_copy_mamba] epoch 8/12 loss=0.0006 val={'loss': 2.3711, 'token_accuracy': 0.6513, 'sequence_success': 0.1514}
[selective_copy_mamba] epoch 9/12 loss=0.0005 val={'loss': 2.3957, 'token_accuracy': 0.6506, 'sequence_success': 0.1494}
[selective_copy_mamba] epoch 10/12 loss=0.0005 val={'loss': 2.4049, 'token_accuracy': 0.6491, 'sequence_success': 0.1478}
[selective_copy_mamba] epoch 11/12 loss=0.0005 val={'loss': 2.4081, 'token_accuracy': 0.6493, 'sequence_success': 0.149}
[selective_copy_mamba] epoch 12/12 loss=0.0005 val={'loss': 2.409, 'token_accuracy': 0.6492, 'sequence_success': 0.149}
=== running selective_copy_mamba2 ===
[selective_copy_mamba2] epoch 1/12 loss=2.6212 val={'loss': 2.233, 'token_accuracy': 0.2481, 'sequence_success': 0.0}
[selective_copy_mamba2] epoch 2/12 loss=1.5234 val={'loss': 1.9915, 'token_accuracy': 0.2556, 'sequence_success': 0.0}
[selective_copy_mamba2] epoch 3/12 loss=0.8813 val={'loss': 1.4498, 'token_accuracy': 0.4702, 'sequence_success': 0.0044}
[selective_copy_mamba2] epoch 4/12 loss=0.2022 val={'loss': 1.1947, 'token_accuracy': 0.5942, 'sequence_success': 0.1304}
[selective_copy_mamba2] epoch 5/12 loss=0.0306 val={'loss': 1.2101, 'token_accuracy': 0.6526, 'sequence_success': 0.1774}
[selective_copy_mamba2] epoch 6/12 loss=0.0042 val={'loss': 1.1708, 'token_accuracy': 0.669, 'sequence_success': 0.1816}
[selective_copy_mamba2] epoch 7/12 loss=0.0008 val={'loss': 1.204, 'token_accuracy': 0.6666, 'sequence_success': 0.1826}
[selective_copy_mamba2] epoch 8/12 loss=0.0006 val={'loss': 1.1956, 'token_accuracy': 0.6701, 'sequence_success': 0.1832}
[selective_copy_mamba2] epoch 9/12 loss=0.0005 val={'loss': 1.1991, 'token_accuracy': 0.6697, 'sequence_success': 0.1832}
[selective_copy_mamba2] epoch 10/12 loss=0.0005 val={'loss': 1.2003, 'token_accuracy': 0.6697, 'sequence_success': 0.1834}
[selective_copy_mamba2] epoch 11/12 loss=0.0004 val={'loss': 1.2009, 'token_accuracy': 0.6697, 'sequence_success': 0.1834}
[selective_copy_mamba2] epoch 12/12 loss=0.0004 val={'loss': 1.201, 'token_accuracy': 0.6697, 'sequence_success': 0.1834}
=== running selective_copy_mamba3 ===
[selective_copy_mamba3] epoch 1/12 loss=2.8859 val={'loss': 2.8446, 'token_accuracy': 0.0581, 'sequence_success': 0.0}
[selective_copy_mamba3] epoch 2/12 loss=2.0659 val={'loss': 3.7203, 'token_accuracy': 0.1509, 'sequence_success': 0.001}
[selective_copy_mamba3] epoch 3/12 loss=0.7146 val={'loss': 3.5907, 'token_accuracy': 0.1983, 'sequence_success': 0.0162}
[selective_copy_mamba3] epoch 4/12 loss=0.4228 val={'loss': 4.1252, 'token_accuracy': 0.1851, 'sequence_success': 0.0118}
[selective_copy_mamba3] epoch 5/12 loss=0.2798 val={'loss': 3.9895, 'token_accuracy': 0.211, 'sequence_success': 0.0266}
[selective_copy_mamba3] epoch 6/12 loss=0.1774 val={'loss': 4.404, 'token_accuracy': 0.2379, 'sequence_success': 0.0676}
[selective_copy_mamba3] epoch 7/12 loss=0.1178 val={'loss': 4.8397, 'token_accuracy': 0.2257, 'sequence_success': 0.0734}
[selective_copy_mamba3] epoch 8/12 loss=0.0763 val={'loss': 5.3984, 'token_accuracy': 0.2213, 'sequence_success': 0.1006}
[selective_copy_mamba3] epoch 9/12 loss=0.0471 val={'loss': 5.5958, 'token_accuracy': 0.2242, 'sequence_success': 0.1296}
[selective_copy_mamba3] epoch 10/12 loss=0.0320 val={'loss': 5.8891, 'token_accuracy': 0.2176, 'sequence_success': 0.1278}
[selective_copy_mamba3] epoch 11/12 loss=0.0247 val={'loss': 5.949, 'token_accuracy': 0.2162, 'sequence_success': 0.1312}
[selective_copy_mamba3] epoch 12/12 loss=0.0212 val={'loss': 5.9618, 'token_accuracy': 0.2154, 'sequence_success': 0.1294}
=== running imdb_transformer ===
Generating train split:   0%|          | 0/25000 [00:00<?, ? examples/s]Generating train split: 100%|██████████| 25000/25000 [00:00<00:00, 213106.14 examples/s]Generating train split: 100%|██████████| 25000/25000 [00:00<00:00, 212195.34 examples/s]
Generating test split:   0%|          | 0/25000 [00:00<?, ? examples/s]Generating test split: 100%|██████████| 25000/25000 [00:00<00:00, 401149.23 examples/s]
Generating unsupervised split:   0%|          | 0/50000 [00:00<?, ? examples/s]Generating unsupervised split: 100%|██████████| 50000/50000 [00:00<00:00, 495284.16 examples/s]Generating unsupervised split: 100%|██████████| 50000/50000 [00:00<00:00, 493748.43 examples/s]
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
[imdb_transformer] epoch 1/3 loss=0.6001 val={'loss': 0.4923, 'accuracy': 0.7628, 'auc': 0.8542}
[imdb_transformer] epoch 2/3 loss=0.4108 val={'loss': 0.4193, 'accuracy': 0.8072, 'auc': 0.8923}
[imdb_transformer] epoch 3/3 loss=0.3192 val={'loss': 0.4168, 'accuracy': 0.8135, 'auc': 0.894}
=== running imdb_s4d ===
[imdb_s4d] epoch 1/3 loss=0.5902 val={'loss': 0.4896, 'accuracy': 0.7911, 'auc': 0.8781}
[imdb_s4d] epoch 2/3 loss=0.4111 val={'loss': 0.4162, 'accuracy': 0.8226, 'auc': 0.9033}
[imdb_s4d] epoch 3/3 loss=0.3532 val={'loss': 0.4071, 'accuracy': 0.8268, 'auc': 0.9065}
=== running imdb_mamba ===
=== running imdb_mamba ===
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
=== running imdb_mamba2 ===
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
